1118
 -475.761491 -117.264675 0.000000 11.965953  1 0 0 0 1 0 0 0 1  1
 -481.973754 -88.324968 0.000000 12.510839  1 0 0 0 1 0 0 0 1  1
 -486.427348 -59.062973 0.000000 16.160447  1 0 0 0 1 0 0 0 1  1
 -489.106022 -29.585464 0.000000 14.732888  1 0 0 0 1 0 0 0 1  1
 -489.106022 29.585464 0.000000 13.516595  1 0 0 0 1 0 0 0 1  1
 -486.427348 59.062973 0.000000 18.308286  1 0 0 0 1 0 0 0 1  1
 -481.973754 88.324969 0.000000 15.852641  1 0 0 0 1 0 0 0 1  1
 -475.761490 117.264676 0.000000 15.497236  1 0 0 0 1 0 0 0 1  1
 -467.813224 145.776497 0.000000 19.171937  1 0 0 0 1 0 0 0 1  1
 -458.157959 173.756395 0.000000 12.858390  1 0 0 0 1 0 0 0 1  1
 -446.830924 201.102275 0.000000 17.572002  1 0 0 0 1 0 0 0 1  1
 -433.873452 227.714355 0.000000 17.537291  1 0 0 0 1 0 0 0 1  1
 -419.332823 253.495530 0.000000 13.804458  1 0 0 0 1 0 0 0 1  1
 -403.262094 278.351727 0.000000 15.678216  1 0 0 0 1 0 0 0 1  1
 -385.719905 302.192248 0.000000 10.758543  1 0 0 0 1 0 0 0 1  1
 -366.770266 324.930103 0.000000 10.539501  1 0 0 0 1 0 0 0 1  1
 -346.482322 346.482324 0.000000 15.307976  1 0 0 0 1 0 0 0 1  1
 -324.930102 366.770267 0.000000 17.791672  1 0 0 0 1 0 0 0 1  1
 -302.192247 385.719906 0.000000 19.340107  1 0 0 0 1 0 0 0 1  1
 -278.351725 403.262095 0.000000 11.299062  1 0 0 0 1 0 0 0 1  1
 -253.495528 419.332824 0.000000 15.688237  1 0 0 0 1 0 0 0 1  1
 -227.714354 433.873453 0.000000 14.693906  1 0 0 0 1 0 0 0 1  1
 -201.102274 446.830925 0.000000 10.119021  1 0 0 0 1 0 0 0 1  1
 -173.756394 458.157959 0.000000 13.371226  1 0 0 0 1 0 0 0 1  1
 -145.776496 467.813225 0.000000 11.621823  1 0 0 0 1 0 0 0 1  1
 -117.264675 475.761491 0.000000 17.942845  1 0 0 0 1 0 0 0 1  1
 -88.324968 481.973754 0.000000 13.112150  1 0 0 0 1 0 0 0 1  1
 -59.062973 486.427348 0.000000 15.285331  1 0 0 0 1 0 0 0 1  1
 -29.585464 489.106022 0.000000 11.656487  1 0 0 0 1 0 0 0 1  1
 -3.397697 -415.362723 0.000000 16.019819  1 0 0 0 1 0 0 0 1  1
 2.014442 -441.218143 0.000000 12.629713  1 0 0 0 1 0 0 0 1  1
 -22.141650 -431.302058 0.000000 16.540791  1 0 0 0 1 0 0 0 1  1
 -12.903728 -460.984416 0.000000 16.892145  1 0 0 0 1 0 0 0 1  1
 413.439782 -7.708999 0.000000 17.481516  1 0 0 0 1 0 0 0 1  1
 440.935166 1.986226 0.000000 14.505416  1 0 0 0 1 0 0 0 1  1
 433.221645 -24.768353 0.000000 10.838214  1 0 0 0 1 0 0 0 1  1
 460.630264 -13.027964 0.000000 12.289770  1 0 0 0 1 0 0 0 1  1
 -387.743148 116.790489 -0.000000 19.133374  1 0 0 0 1 0 0 0 1  1
 -411.816112 99.925371 -0.000000 11.523780  1 0 0 0 1 0 0 0 1  1
 -419.191589 123.140520 -0.000000 18.258170  1 0 0 0 1 0 0 0 1  1
 -443.614981 100.805125 -0.000000 15.383424  1 0 0 0 1 0 0 0 1  1
 394.455208 -97.554851 0.000000 19.961347  1 0 0 0 1 0 0 0 1  1
 409.255636 -124.208545 0.000000 10.781755  1 0 0 0 1 0 0 0 1  1
 378.883585 -124.419109 0.000000 14.426783  1 0 0 0 1 0 0 0 1  1
 431.527855 -103.414430 0.000000 11.066528  1 0 0 0 1 0 0 0 1  1
 -107.692059 -403.266449 0.000000 19.618981  1 0 0 0 1 0 0 0 1  1
 -127.265163 -412.441517 0.000000 10.046342  1 0 0 0 1 0 0 0 1  1
 -123.161761 -386.491771 0.000000 17.749105  1 0 0 0 1 0 0 0 1  1
 -103.170767 -430.891739 0.000000 18.173032  1 0 0 0 1 0 0 0 1  1
 -177.701912 -394.671982 0.000000 18.686947  1 0 0 0 1 0 0 0 1  1
 -192.204451 -378.655608 0.000000 10.844358  1 0 0 0 1 0 0 0 1  1
 -165.390692 -366.471118 0.000000 13.997826  1 0 0 0 1 0 0 0 1  1
 -194.533342 -348.779439 0.000000 12.598704  1 0 0 0 1 0 0 0 1  1
 159.217572 398.835046 0.000000 18.000685  1 0 0 0 1 0 0 0 1  1
 190.674788 396.059629 0.000000 14.314138  1 0 0 0 1 0 0 0 1  1
 173.365581 372.063608 0.000000 19.106476  1 0 0 0 1 0 0 0 1  1
 180.962307 423.961879 0.000000 11.818470  1 0 0 0 1 0 0 0 1  1
 393.568967 -177.580344 0.000000 12.638029  1 0 0 0 1 0 0 0 1  1
 377.395929 -191.962200 0.000000 11.455390  1 0 0 0 1 0 0 0 1  1
 364.654319 -164.835262 0.000000 11.360686  1 0 0 0 1 0 0 0 1  1
 346.280956 -194.074681 0.000000 18.692922  1 0 0 0 1 0 0 0 1  1
 61.187795 387.922593 0.000000 15.797046  1 0 0 0 1 0 0 0 1  1
 38.300648 391.241392 0.000000 15.498602  1 0 0 0 1 0 0 0 1  1
 57.544056 415.062884 0.000000 11.449548  1 0 0 0 1 0 0 0 1  1
 31.934213 415.572483 0.000000 18.530311  1 0 0 0 1 0 0 0 1  1
 370.006860 -10.094561 0.000000 16.220551  1 0 0 0 1 0 0 0 1  1
 349.978325 -6.146332 0.000000 13.509524  1 0 0 0 1 0 0 0 1  1
 365.152542 11.175098 0.000000 15.132495  1 0 0 0 1 0 0 0 1  1
 342.873918 18.450155 0.000000 14.018080  1 0 0 0 1 0 0 0 1  1
 -285.322529 -213.245476 0.000000 10.759667  1 0 0 0 1 0 0 0 1  1
