eval,stage_eval,chi2,stage,p1,p2,p3,p4,p5,p6
23,23,0.0025874997995865207,0-24h,0.17950178561304175,10.244601418355353,0.29564132364979484,17.99992322682398,0.6500009635480444,20.000001021237185
1,1,5.5355765510352075,0-48h,0.17949874948332448,10.244615580939902,0.2956398363617977,17.999928168265207,0.6500009635480444,19.99999996475806
2,2,5.720448978642729,0-48h,0.18488371196782422,10.244615580939902,0.2956398363617977,17.999928168265207,0.6500009635480444,19.99999996475806
3,3,5.450287615581422,0-48h,0.17949874948332448,10.5519540483681,0.2956398363617977,17.999928168265207,0.6500009635480444,19.99999996475806
4,4,5.261020499439699,0-48h,0.17949874948332448,10.244615580939902,0.3045090314526516,17.999928168265207,0.6500009635480444,19.99999996475806
5,5,6.692871855051576,0-48h,0.17949874948332448,10.244615580939902,0.2956398363617977,18.539926013313163,0.6500009635480444,19.99999996475806
6,6,5.407867957470202,0-48h,0.17949874948332448,10.244615580939902,0.2956398363617977,17.999928168265207,0.6695009924544857,19.99999996475806
7,7,5.606035581719871,0-48h,0.17949874948332448,10.244615580939902,0.2956398363617977,17.999928168265207,0.6500009635480444,20.599999963700803
8,8,3.1433953360977194,0-48h,0.14032823683557072,13.438854193401369,0.4463785152398635,17.37224893916413,0.7258656364897633,19.99888419475301
9,9,2.849086144240032,0-48h,0.14453808394063783,13.438854193401369,0.4463785152398635,17.37224893916413,0.7258656364897633,19.99888419475301
10,10,3.1019352955563946,0-48h,0.14032823683557072,13.84201981920341,0.4463785152398635,17.37224893916413,0.7258656364897633,19.99888419475301
11,11,3.2004724691255286,0-48h,0.14032823683557072,13.438854193401369,0.4597698706970594,17.37224893916413,0.7258656364897633,19.99888419475301
12,12,3.8404919415229095,0-48h,0.14032823683557072,13.438854193401369,0.4463785152398635,17.893416407339053,0.7258656364897633,19.99888419475301
13,13,3.2932482767157434,0-48h,0.14032823683557072,13.438854193401369,0.4463785152398635,17.37224893916413,0.7476416055844562,19.99888419475301
14,14,3.189067381759551,0-48h,0.14032823683557072,13.438854193401369,0.4463785152398635,17.37224893916413,0.7258656364897633,20.5988507205956
15,15,1.9023717252711108,0-48h,0.20348962687386885,14.305474475423532,0.41294864690208943,16.823821093228002,0.6720306878772703,19.998590528982447
16,16,1.8883618856882192,0-48h,0.2095943156800849,14.305474475423532,0.41294864690208943,16.823821093228002,0.6720306878772703,19.998590528982447
17,17,1.9278445393856505,0-48h,0.20348962687386885,14.734638709686237,0.41294864690208943,16.823821093228002,0.6720306878772703,19.998590528982447
18,18,1.9592539030265228,0-48h,0.20348962687386885,14.305474475423532,0.4253371063091521,16.823821093228002,0.6720306878772703,19.998590528982447
19,19,1.9937624962550464,0-48h,0.20348962687386885,14.305474475423532,0.41294864690208943,17.328535726024842,0.6720306878772703,19.998590528982447
20,20,2.017060571023499,0-48h,0.20348962687386885,14.305474475423532,0.41294864690208943,16.823821093228002,0.6921916085135884,19.998590528982447
21,21,1.9024102933466178,0-48h,0.20348962687386885,14.305474475423532,0.41294864690208943,16.823821093228002,0.6720306878772703,20.59854824485192
22,22,3.6190085994149794,0-48h,0.4295189162521928,10.257467451521336,0.2953047801588972,14.876074775030398,0.4804070436018692,19.99978125725829
23,23,2.2521996155285806,0-48h,0.24435701765125353,13.914270413850462,0.3618053455020726,16.292063890720318,0.6176009297392854,19.998590497377617
24,24,2.0026126842191685,0-48h,0.2132911206328537,14.213849283478368,0.3996422315498549,16.692469802389862,0.6585374108550011,19.998590514294712
25,25,2.0229417688130704,0-48h,0.20591905303578997,14.282865471792192,0.4095953750032596,16.79107341233593,0.6686641906046529,19.998590524977395
26,26,2.14764347098068,0-48h,0.2040957372548523,14.299839747450784,0.4121087373687269,16.815639660160148,0.6711894826588264,19.998590527961472
27,27,2.034544202449335,0-48h,0.20364107752079572,14.304066873062117,0.41273857116784124,16.821776075629092,0.6718204126479397,19.998590528725988
28,28,2.037566869935591,0-48h,0.2035274847407856,14.305122642070767,0.41289612183891966,16.823309860084485,0.6719781206977762,19.998590528918257
29,29,2.0054287144343053,0-48h,0.20349909104114727,14.305386521283964,0.41293551525346645,16.823693286270082,0.6720175461841075,19.998590528966396
30,30,1.9536598534145868,0-48h,0.20349199289697628,14.305452487150996,0.412945363966011,16.82378914157151,0.672027402460336,19.998590528978433
31,31,2.0817698576241246,0-48h,0.20349021837847625,14.305468978371794,0.4129478261665747,16.823813105319065,0.672029866523434,19.998590528981445
1,1,68.65519716253553,0-72h,0.20348962687386885,14.305474475423532,0.41294864690208943,16.823821093228002,0.6720306878772703,19.998590528982447
2,2,64.39982452448388,0-72h,0.2095943156800849,14.305474475423532,0.41294864690208943,16.823821093228002,0.6720306878772703,19.998590528982447
3,3,66.85415827492174,0-72h,0.20348962687386885,14.734638709686237,0.41294864690208943,16.823821093228002,0.6720306878772703,19.998590528982447
4,4,65.29504974795493,0-72h,0.20348962687386885,14.305474475423532,0.4253371063091521,16.823821093228002,0.6720306878772703,19.998590528982447
5,5,71.80680705951058,0-72h,0.20348962687386885,14.305474475423532,0.41294864690208943,17.328535726024842,0.6720306878772703,19.998590528982447
6,6,67.56397096674424,0-72h,0.20348962687386885,14.305474475423532,0.41294864690208943,16.823821093228002,0.6921916085135884,19.998590528982447
7,7,65.0659583202076,0-72h,0.20348962687386885,14.305474475423532,0.41294864690208943,16.823821093228002,0.6720306878772703,20.59854824485192
8,8,40.18911343084835,0-72h,0.30950659318905716,15.740121960790628,0.49084993941560895,15.905789777842449,0.7162417422661075,21.349077912421055
9,9,38.61933995723201,0-72h,0.3187917909847289,15.740121960790628,0.49084993941560895,15.905789777842449,0.7162417422661075,21.349077912421055
10,10,39.35230860529481,0-72h,0.30950659318905716,16.212325619614347,0.49084993941560895,15.905789777842449,0.7162417422661075,21.349077912421055
11,11,38.25477400627964,0-72h,0.30950659318905716,15.740121960790628,0.5055754375980772,15.905789777842449,0.7162417422661075,21.349077912421055
12,12,39.70458681074745,0-72h,0.30950659318905716,15.740121960790628,0.49084993941560895,16.38296347117772,0.7162417422661075,21.349077912421055
13,13,38.54009250359465,0-72h,0.30950659318905716,15.740121960790628,0.49084993941560895,15.905789777842449,0.7377289945340907,21.349077912421055
14,14,37.68143696139893,0-72h,0.30950659318905716,15.740121960790628,0.49084993941560895,15.905789777842449,0.7162417422661075,21.989550249793687
15,15,35.86391434487078,0-72h,0.46893605335783806,17.918293017165347,0.6083793728707216,17.348701733601654,0.7831518739087634,23.383000217553278
16,16,35.83339426075301,0-72h,0.4830041349585732,17.918293017165347,0.6083793728707216,17.348701733601654,0.7831518739087634,23.383000217553278
17,17,35.98413367635638,0-72h,0.46893605335783806,18.455841807680308,0.6083793728707216,17.348701733601654,0.7831518739087634,23.383000217553278
18,18,35.80690807185635,0-72h,0.46893605335783806,17.918293017165347,0.6266307540568433,17.348701733601654,0.7831518739087634,23.383000217553278
19,19,35.869940529544074,0-72h,0.46893605335783806,17.918293017165347,0.6083793728707216,17.869162785609703,0.7831518739087634,23.383000217553278
20,20,35.9044999846547,0-72h,0.46893605335783806,17.918293017165347,0.6083793728707216,17.348701733601654,0.8066464301260263,23.383000217553278
21,21,35.922991862511935,0-72h,0.46893605335783806,17.918293017165347,0.6083793728707216,17.348701733601654,0.7831518739087634,24.084490224079875
22,22,35.75643082759065,0-72h,0.49144962668020375,16.403008691919847,0.6387995865727366,17.31315743140613,0.7647907137032182,23.305686319109874
