cell_line,exposure_label_raw,exposure_seconds,exposure_minutes,exposure_label,time_h,n1,n2,n3,n4,mean_sheet,sd_sheet,mean_recomputed,sd_recomputed,mean_used,sd_used,mean_t0_normalized,sd_t0_normalized,mean_abs_diff,sd_abs_diff
MiaPaCa2,3',180,3.0,Treat:3min,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.0689207514010418,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815,0.018995625000000002,8.664157734705746e-06
MiaPaCa2,3',180,3.0,Treat:3min,24,0.1188,0.1822,0.1687,0.1189,0.14715,0.0331994836448658,0.14715,0.0331395534067675,0.14715,0.0331395534067675,1.1875614738594236,0.2674499278748486,0.0,5.993023809830467e-05
MiaPaCa2,3',180,3.0,Treat:3min,48,0.1926999999999999,0.3976,0.2370499999999999,0.1136,0.2352375,0.1165541436108435,0.2352375,0.1196801109555524,0.2352375,0.1196801109555524,1.8984640992660968,0.9658680867008844,0.0,0.0031259673447088937
MiaPaCa2,3',180,3.0,Treat:3min,72,0.5982000000000001,0.6288,0.48725,0.2989,0.4351583333333333,0.1608933156322894,0.5032875,0.1492126244379699,0.5032875,0.1492126244379699,4.061738669894832,1.2042077077539126,0.06812916666666669,0.011680691194319498
MiaPaCa2,4',240,4.0,Treat:4min,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.0689207514010418,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815,0.018995625000000002,8.664157734705746e-06
MiaPaCa2,4',240,4.0,Treat:4min,24,0.10445,0.15425,0.1518,0.108,0.129625,0.0265150496349311,0.129625,0.0270773121511964,0.129625,0.0270773121511964,1.0461274621068823,0.2185251289597457,0.0,0.0005622625162652987
MiaPaCa2,4',240,4.0,Treat:4min,48,0.14865,0.28335,0.1685499999999999,0.07995,0.170125,0.0830957752063416,0.170125,0.0844888306227515,0.170125,0.0844888306227515,1.372979243903054,0.6818598723684268,0.0,0.0013930554164099107
MiaPaCa2,4',240,4.0,Treat:4min,72,0.3892,0.404,0.2853,0.1975,0.2785,0.1186031656790445,0.319,0.0966970871674357,0.319,0.0966970871674357,2.574462182542685,0.7803855613623727,0.04049999999999998,0.021906078511608792
MiaPaCa2,5',300,5.0,Treat:5min,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.0689207514010418,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815,0.018995625000000002,8.664157734705746e-06
MiaPaCa2,5',300,5.0,Treat:5min,24,0.0895499999999999,0.1343,0.0900499999999999,0.0952,0.102275,0.0215023420651265,0.102275,0.0215021898109626,0.102275,0.0215021898109626,0.8254016292149,0.1735315815366082,0.0,1.5225416389805235e-07
MiaPaCa2,5',300,5.0,Treat:5min,48,0.0864,0.14335,0.0827,0.0682,0.0951625,0.0345448750592203,0.0951625,0.0330711700982391,0.0951625,0.0330711700982391,0.7680008070414365,0.2668980462393515,0.0,0.0014737049609811967
MiaPaCa2,5',300,5.0,Treat:5min,72,0.1013999999999999,0.14905,0.07485,0.147725,0.12415,0.0559314312350399,0.11825625,0.0364458409549933,0.11825625,0.0364458409549933,0.9543769387909512,0.2941330383999863,0.005893750000000003,0.0194855902800466
PANC1,"0""",0,0.0,Control,0,0.1191499999999999,0.1161,0.232475,0.27655,0.2088833333333333,0.0835812786748775,0.18606875,0.0810640522853173,0.18606875,0.0810640522853173,1.0,0.4356672051879607,0.022814583333333305,0.002517226389560201
PANC1,"0""",0,0.0,Control,24,0.2573249999999999,0.432475,0.389,0.3206375,0.3440149999999999,0.0941467514882459,0.349859375,0.0769715500573372,0.349859375,0.0769715500573372,1.8802693896745155,0.4136726347510649,0.005844375000000068,0.0171752014309087
PANC1,"0""",0,0.0,Control,48,0.6478999999999999,0.911125,0.7149,0.5806375,0.68704,0.1808613234381233,0.713640625,0.142610571639094,0.713640625,0.142610571639094,3.835359914010279,0.7664402090038976,0.026600625000000044,0.038250751799029314
PANC1,"0""",0,0.0,Control,72,1.772025,1.675325,1.9516833333333328,1.4024416666666668,1.7165444444444444,0.6583330851671063,1.70036875,0.2292606772196508,1.70036875,0.2292606772196508,9.138389708105205,1.2321288621525688,0.016175694444444444,0.4290724079474555
PANC1,"15""",15,0.25,Treat:15s,0,0.1191499999999999,0.1161,0.232475,0.27655,0.2088833333333333,0.0835812786748775,0.18606875,0.0810640522853173,0.18606875,0.0810640522853173,1.0,0.4356672051879607,0.022814583333333305,0.002517226389560201
PANC1,"15""",15,0.25,Treat:15s,24,0.2324,0.37495,0.4036999999999999,0.25865,0.30567,0.103941308759639,0.317425,0.0845305713928398,0.317425,0.0845305713928398,1.7059554600114206,0.4542975184862576,0.011755000000000015,0.0194107373667992
PANC1,"15""",15,0.25,Treat:15s,48,0.56455,0.79005,0.69635,0.40675,0.5728899999999999,0.1994525142595213,0.614425,0.1665055229314231,0.614425,0.1665055229314231,3.3021396661180344,0.8948602219954889,0.0415350000000001,0.032946991328098196
PANC1,"15""",15,0.25,Treat:15s,72,1.462,1.22925,1.4301,1.0849125000000002,1.208714285714286,0.3663989751773184,1.301565625,0.177415144439708,1.301565625,0.177415144439708,6.995079103825871,0.9534924292215003,0.09285133928571399,0.1889838307376104
PANC1,"30""",30,0.5,Treat:30s,0,0.1191499999999999,0.1161,0.232475,0.27655,0.2088833333333333,0.0835812786748775,0.18606875,0.0810640522853173,0.18606875,0.0810640522853173,1.0,0.4356672051879607,0.022814583333333305,0.002517226389560201
PANC1,"30""",30,0.5,Treat:30s,24,0.2207,0.39815,0.377,0.27015,0.30723,0.1052440766345863,0.3165,0.0849567242777168,0.3165,0.0849567242777168,1.700984179234826,0.4565878164802893,0.00927,0.0202873523568695
PANC1,"30""",30,0.5,Treat:30s,48,0.5186,0.68765,0.62295,0.3669,0.5126,0.1777979064993613,0.549025,0.1399726074392176,0.549025,0.1399726074392176,2.9506566793188,0.752262846067476,0.03642500000000004,0.0378252990601437
