cell_line,exposure_label_raw,exposure_seconds,exposure_minutes,exposure_label,time_h,n1,n2,n3,n4,mean_sheet,sd_sheet,mean_recomputed,sd_recomputed,mean_used,sd_used,mean_t0_normalized,sd_t0_normalized
HuCCT1,1',60,1.0,Treat:1min,72,0.7688499950000001,0.65189999,1.182699975,0.80345000125,0.8310357092857144,0.17495445638966864,0.8517249903125,0.22998058661244494,0.8517249903125,0.22998058661244494,5.066964062093326,1.3681685762406093
HuCCT1,2',120,2.0,Treat:2min,0,0.13105,0.14552500000000002,0.20845,0.18735000000000002,0.17194500000000001,0.0677004545969344,0.16809375000000001,0.03596766125632858,0.16809375000000001,0.03596766125632858,1.0,0.21397381673220198
HuCCT1,2',120,2.0,Treat:2min,24,0.15215,0.44045,0.2621,0.244875,0.26888999999999996,0.10543782475415982,0.27489375,0.12047088924819141,0.27489375,0.12047088924819141,1.6353597322922475,0.7166886885930702
HuCCT1,2',120,2.0,Treat:2min,48,0.2153,0.6329,0.50895,0.40729999999999994,0.43434999999999996,0.17059473744651218,0.4411125,0.17655871721611482,0.4411125,0.17655871721611482,2.6242052426101505,1.0503586077181026
HuCCT1,2',120,2.0,Treat:2min,72,0.519299985,0.6806,0.538600015,0.71996249375,0.6597642821428572,0.11323569521111802,0.6146156234375,0.10052420055530914,0.6146156234375,0.10052420055530914,3.656385936047592,0.5980246175441332
HuCCT1,3',180,3.0,Treat:3min,0,0.13105,0.14552500000000002,0.20845,0.18735000000000002,0.17194500000000001,0.0677004545969344,0.16809375000000001,0.03596766125632858,0.16809375000000001,0.03596766125632858,1.0,0.21397381673220198
HuCCT1,3',180,3.0,Treat:3min,24,0.1422,0.26249999999999996,0.25255,0.27997500000000003,0.24344000000000002,0.09064940338101145,0.23430625,0.06244175410932976,0.23430625,0.06244175410932976,1.39390221230712,0.37146981437043175
HuCCT1,3',180,3.0,Treat:3min,48,0.15625,0.39795,0.3743,0.3502,0.32578,0.14208641775733202,0.31967500000000004,0.11068027903229495,0.31967500000000004,0.11068027903229495,1.901766127532999,0.6584437495879231
HuCCT1,3',180,3.0,Treat:3min,72,0.49104999,0.37129999999999996,0.60364997,0.5523166666666667,0.52049166,0.09778348000247296,0.5045791566666666,0.10006709060758621,0.5045791566666666,0.10006709060758621,3.0017722649810987,0.5953052425065548
HuCCT1,4',240,4.0,Treat:4min,0,0.13105,0.14552500000000002,0.20845,0.18735000000000002,0.17194500000000001,0.0677004545969344,0.16809375000000001,0.03596766125632858,0.16809375000000001,0.03596766125632858,1.0,0.21397381673220198
HuCCT1,4',240,4.0,Treat:4min,24,0.1078,0.17485,0.22794999999999999,0.24075,0.19841999999999999,0.08246799446519307,0.1878375,0.06050736008949654,0.1878375,0.06050736008949654,1.1174567763524816,0.35996198603158375
HuCCT1,4',240,4.0,Treat:4min,48,0.0937,0.31994999999999996,0.18,0.1911,0.19517,0.0965009763911456,0.1961875,0.09328944541050717,0.1961875,0.09328944541050717,1.1671314370700872,0.5549846166826974
HuCCT1,4',240,4.0,Treat:4min,72,0.13045,0.172400005,0.14125000000000001,0.343725,0.22631000100000004,0.1150335160946098,0.19695625125,0.09944905349505598,0.19695625125,0.09944905349505598,1.1717047852760736,0.5916285019226234
HuCCT1,5',300,5.0,Treat:5min,0,0.13105,0.14552500000000002,0.20845,0.18735000000000002,0.17194500000000001,0.0677004545969344,0.16809375000000001,0.03596766125632858,0.16809375000000001,0.03596766125632858,1.0,0.21397381673220198
HuCCT1,5',300,5.0,Treat:5min,24,0.05395,0.21305,0.0568,0.11623333333333334,0.12297999999999998,0.07695663353112873,0.11000833333333333,0.07445356308166558,0.11000833333333333,0.07445356308166558,0.654446303526058,0.44292880063456
HuCCT1,5',300,5.0,Treat:5min,48,0.04355,0.17165,0.1455,0.15961666666666666,0.12797,0.09435074986453472,0.13007916666666666,0.058667699446401794,0.13007916666666666,0.058667699446401794,0.7738489186341946,0.34901773234520495
HuCCT1,5',300,5.0,Treat:5min,72,0.0757,0.0761,0.08904999999999999,0.10342499999999999,0.09350714285714287,0.018472743508944456,0.08606875,0.013127759630518319,0.08606875,0.013127759630518319,0.512028258040528,0.07809784498542223
MiaPaCa2,"0""",0,0.0,Control,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.06892075140104187,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815
MiaPaCa2,"0""",0,0.0,Control,24,0.20475,0.31432499999999997,0.266575,0.21739999999999998,0.25076250000000005,0.04698951478787554,0.2507625,0.05006806408946392,0.2507625,0.05006806408946392,2.0237572822879626,0.40407002367225175
MiaPaCa2,"0""",0,0.0,Control,48,0.48885,0.77705,0.61785,0.421975,0.5764312500000001,0.14392610936981956,0.57643125,0.15651475353115013,0.57643125,0.15651475353115013,4.652039040629492,1.2631389152850632
MiaPaCa2,"0""",0,0.0,Control,72,1.72195,2.024975,1.76065,1.1052583333333335,1.4705583333333336,0.4819528624945244,1.6532083333333334,0.3893279617566089,1.6532083333333334,0.3893279617566089,13.342076282229115,3.1420379753881327
