eval,stage_eval,chi2,stage,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
76,218,23.52971916535354,optuna,0.3492491293885876,19.11241672826838,0.7086219615342955,10.690453624508612,19.256922953222556,14.44072932752352,5.5576893442144595,5.072791412252961,5.48400225185382,0.0001964981876020138,3.658465916462621,0.011280715908360155,215.1248637781643
76,219,23.44142365889479,optuna,0.3492491293885876,19.11241672826838,0.7086219615342955,10.690453624508612,19.256922953222556,14.44072932752352,5.5576893442144595,5.072791412252961,5.48400225185382,0.0001964981876020138,3.658465916462621,0.011280715908360155,215.1248637781643
76,220,23.62091098167046,optuna,0.3492491293885876,19.11241672826838,0.7086219615342955,10.690453624508612,19.256922953222556,14.44072932752352,5.5576893442144595,5.072791412252961,5.48400225185382,0.0001964981876020138,3.658465916462621,0.011280715908360155,215.1248637781643
77,221,9.860220999590963,optuna,0.5672867625928657,4.871519552259764,0.6762662659224652,10.365564713606652,15.008420330713038,16.095358373409525,1.3809288853629764,3.208615907943549,7.091130199026024,0.00035312559550172153,1.3144926980882388,0.0025572870850276708,80.7715913561409
77,222,8.365332555627887,optuna,0.5672867625928657,4.871519552259764,0.6762662659224652,10.365564713606652,15.008420330713038,16.095358373409525,1.3809288853629764,3.208615907943549,7.091130199026024,0.00035312559550172153,1.3144926980882388,0.0025572870850276708,80.7715913561409
77,223,7.93414443306699,optuna,0.5672867625928657,4.871519552259764,0.6762662659224652,10.365564713606652,15.008420330713038,16.095358373409525,1.3809288853629764,3.208615907943549,7.091130199026024,0.00035312559550172153,1.3144926980882388,0.0025572870850276708,80.7715913561409
78,224,26.64199382377365,optuna,0.7548848869442348,5.208665659105988,0.8063265265561169,13.071283676233335,16.326099243617026,16.645883945586537,6.843913346043983,1.6688171469259228,13.127831010781165,0.00047569431885625697,2.4034891286769238,0.03545493701528902,78.61260108681472
78,225,26.37988284167963,optuna,0.7548848869442348,5.208665659105988,0.8063265265561169,13.071283676233335,16.326099243617026,16.645883945586537,6.843913346043983,1.6688171469259228,13.127831010781165,0.00047569431885625697,2.4034891286769238,0.03545493701528902,78.61260108681472
78,226,26.53856338361747,optuna,0.7548848869442348,5.208665659105988,0.8063265265561169,13.071283676233335,16.326099243617026,16.645883945586537,6.843913346043983,1.6688171469259228,13.127831010781165,0.00047569431885625697,2.4034891286769238,0.03545493701528902,78.61260108681472
79,227,17.97538058790169,optuna,0.5177217940829753,15.516038632191263,0.33922355959886946,12.973085492981568,20.10111540547704,10.27643499106236,2.3035097791477703,3.6057350134497286,10.565733297261204,0.00034792221164164916,1.7644388185772426,5.559512709562419e-05,195.02027472379652
