cell_line,case_label,exposure_seconds,exposure_minutes,time_h,mean_signal,sd_signal,target_viability_pct,target_sd_pct,include_in_first_bar_chart
HuCCT1,1min,60.0,1.0,0.0,0.17194500000000001,0.0677004545969344,100.0,39.37331972254755,no
HuCCT1,1min,60.0,1.0,24.0,0.31195000000000006,0.12980214002687143,181.42429265172007,75.49049988477212,no
HuCCT1,1min,60.0,1.0,48.0,0.53688,0.20122612791473085,312.2393788711506,117.02935701226022,no
HuCCT1,1min,60.0,1.0,72.0,0.8310357092857144,0.17495445638966864,483.3148444477677,101.75024361840624,no
HuCCT1,2min,120.0,2.0,0.0,0.17194500000000001,0.0677004545969344,100.0,39.37331972254755,yes
HuCCT1,2min,120.0,2.0,24.0,0.26888999999999996,0.10543782475415982,156.3814010293989,61.32066925712281,yes
HuCCT1,2min,120.0,2.0,48.0,0.43434999999999996,0.17059473744651218,252.6098461717409,99.21471252232526,yes
HuCCT1,2min,120.0,2.0,72.0,0.6597642821428572,0.11323569521111802,383.706581838877,65.8557650476129,yes
HuCCT1,3min,180.0,3.0,0.0,0.17194500000000001,0.0677004545969344,100.0,39.37331972254755,no
HuCCT1,3min,180.0,3.0,24.0,0.24344000000000002,0.09064940338101145,141.58015644537497,52.71999964000782,no
HuCCT1,3min,180.0,3.0,48.0,0.32578,0.14208641775733202,189.46756230189885,82.63480633768474,no
HuCCT1,3min,180.0,3.0,72.0,0.52049166,0.09778348000247296,302.7082264677658,56.86904533570209,no
HuCCT1,4min,240.0,4.0,0.0,0.17194500000000001,0.0677004545969344,100.0,39.37331972254755,yes
HuCCT1,4min,240.0,4.0,24.0,0.19841999999999999,0.08246799446519307,115.39736543662215,47.96184504649339,yes
HuCCT1,4min,240.0,4.0,48.0,0.19517,0.0965009763911456,113.50722614789612,56.123165193024285,yes
HuCCT1,4min,240.0,4.0,72.0,0.22631000100000004,0.1150335160946098,131.61766902207103,66.9013440894529,yes
HuCCT1,5min,300.0,5.0,0.0,0.17194500000000001,0.0677004545969344,100.0,39.37331972254755,yes
HuCCT1,5min,300.0,5.0,24.0,0.12297999999999998,0.07695663353112873,71.52287068539357,44.7565404816242,yes
HuCCT1,5min,300.0,5.0,48.0,0.12797,0.09435074986453472,74.42496147023758,54.87263361222176,yes
HuCCT1,5min,300.0,5.0,72.0,0.09350714285714287,0.018472743508944456,54.38200753563225,10.743402546712295,yes
MiaPaCa2,0s,0.0,0.0,0.0,0.142905,0.06892075140104187,100.0,48.228369476954526,yes
MiaPaCa2,0s,0.0,0.0,24.0,0.25076250000000005,0.04698951478787554,175.47496588642807,32.88164500043773,yes
MiaPaCa2,0s,0.0,0.0,48.0,0.5764312500000001,0.14392610936981956,403.3667471397082,100.7145371889154,yes
MiaPaCa2,0s,0.0,0.0,72.0,1.4705583333333336,0.4819528624945244,1029.0461028888658,337.25402364824487,yes
MiaPaCa2,15s,15.0,0.25,0.0,0.142905,0.06892075140104187,100.0,48.228369476954526,no
MiaPaCa2,15s,15.0,0.25,24.0,0.21938749999999999,0.05316291504154268,153.5198208600119,37.20157800044972,no
MiaPaCa2,15s,15.0,0.25,48.0,0.4732625,0.14747676754080866,331.17280710961825,103.19916555810408,no
MiaPaCa2,15s,15.0,0.25,72.0,1.1699416666666667,0.34030636854119745,818.684907222747,238.13468286008006,no
MiaPaCa2,30s,30.0,0.5,0.0,0.142905,0.06892075140104187,100.0,48.228369476954526,yes
MiaPaCa2,30s,30.0,0.5,24.0,0.2129375,0.05548314898623333,149.0063328784857,38.825197849083885,yes
MiaPaCa2,30s,30.0,0.5,48.0,0.3993749999999999,0.13641547618528188,279.4688779258948,95.45885461340183,yes
MiaPaCa2,30s,30.0,0.5,72.0,0.8947333333333335,0.2780130223677664,626.103588631142,194.5439434363853,yes
MiaPaCa2,1min,60.0,1.0,0.0,0.142905,0.06892075140104187,100.0,48.228369476954526,no
MiaPaCa2,1min,60.0,1.0,24.0,0.19113750000000004,0.03943337735979492,133.75144326650573,27.594120121615703,no
MiaPaCa2,1min,60.0,1.0,48.0,0.31365000000000004,0.0913715491824452,219.4814737063084,63.93866497494503,no
MiaPaCa2,1min,60.0,1.0,72.0,0.6454333333333333,0.20822203329982886,451.65202990331574,145.70661159499588,no
MiaPaCa2,2min,120.0,2.0,0.0,0.142905,0.06892075140104187,100.0,48.228369476954526,yes
MiaPaCa2,2min,120.0,2.0,24.0,0.18396250000000003,0.055351782459362224,128.73062524054444,38.733272075408294,yes
MiaPaCa2,2min,120.0,2.0,48.0,0.2612375,0.09087416633533903,182.80501032154228,63.590613579188286,yes
MiaPaCa2,2min,120.0,2.0,72.0,0.5061333333333333,0.17370350566061646,354.17468481392063,121.55173413149747,yes
MiaPaCa2,3min,180.0,3.0,0.0,0.142905,0.06892075140104187,100.0,48.228369476954526,no
MiaPaCa2,3min,180.0,3.0,24.0,0.14715,0.03319948364486588,102.97050488086491,23.231855879686417,no
MiaPaCa2,3min,180.0,3.0,48.0,0.23523750000000002,0.11655414361084354,164.6111052797313,81.56057773404957,no
MiaPaCa2,3min,180.0,3.0,72.0,0.43515833333333337,0.16089331563228945,304.50882287766933,112.58760409523072,no
MiaPaCa2,4min,240.0,4.0,0.0,0.142905,0.06892075140104187,100.0,48.228369476954526,yes
MiaPaCa2,4min,240.0,4.0,24.0,0.129625,0.02651504963493112,90.70711311710576,18.554319047570846,yes
MiaPaCa2,4min,240.0,4.0,48.0,0.170125,0.08309577520634161,119.04761904761904,58.147563210763515,yes
MiaPaCa2,4min,240.0,4.0,72.0,0.2785,0.11860316567904455,194.884713620937,82.99441284702743,yes
MiaPaCa2,5min,300.0,5.0,0.0,0.142905,0.06892075140104187,100.0,48.228369476954526,yes
MiaPaCa2,5min,300.0,5.0,24.0,0.102275,0.021502342065126585,71.56852454427766,15.046598834978893,yes
MiaPaCa2,5min,300.0,5.0,48.0,0.09516250000000001,0.034544875059220326,66.59144186697456,24.17331448110306,yes
MiaPaCa2,5min,300.0,5.0,72.0,0.12415000000000001,0.05593143123503992,86.8758965746475,39.1388903362653,yes
PANC1,0s,0.0,0.0,0.0,0.20888333333333334,0.08358127867487751,100.00000000000001,40.01337844484681,yes
PANC1,0s,0.0,0.0,24.0,0.3440149999999999,0.09414675148824592,164.69241203223487,45.07145208086456,yes
PANC1,0s,0.0,0.0,48.0,0.68704,0.18086132343812336,328.9108752892364,86.58485124301765,yes
PANC1,0s,0.0,0.0,72.0,1.7165444444444444,0.6583330851671063,821.7718556344583,315.1678377884495,yes
PANC1,15s,15.0,0.25,0.0,0.20888333333333334,0.08358127867487751,100.00000000000001,40.01337844484681,no
PANC1,15s,15.0,0.25,24.0,0.30567000000000005,0.10394130875963907,146.3352748743318,49.76046058867265,no
PANC1,15s,15.0,0.25,48.0,0.5728899999999999,0.19945251425952135,274.2631452964174,95.48512611163552,no
PANC1,15s,15.0,0.25,72.0,1.2087142857142859,0.3663989751773184,578.6552073953335,175.40842983036066,no
PANC1,30s,30.0,0.5,0.0,0.20888333333333334,0.08358127867487751,100.00000000000001,40.01337844484681,yes
PANC1,30s,30.0,0.5,24.0,0.30723,0.10524407663458633,147.08210324742677,50.384142648010695,yes
PANC1,30s,30.0,0.5,48.0,0.5126,0.17779790649936134,245.40014362084094,85.11828285296161,yes
PANC1,30s,30.0,0.5,72.0,1.0179499999999997,0.317887018512021,487.3294502513363,152.18400311753976,yes
PANC1,1min,60.0,1.0,0.0,0.20888333333333334,0.08358127867487751,100.00000000000001,40.01337844484681,no
PANC1,1min,60.0,1.0,24.0,0.27089,0.08216682826218046,129.6848320434054,39.33622991886082,no
PANC1,1min,60.0,1.0,48.0,0.42776,0.13959361812856014,204.78416979174975,66.82850943679573,no
PANC1,1min,60.0,1.0,72.0,0.8298571428571428,0.2546201475933112,397.28260250082633,121.89586575918511,no
PANC1,2min,120.0,2.0,0.0,0.20888333333333334,0.08358127867487751,100.00000000000001,40.01337844484681,yes
PANC1,2min,120.0,2.0,24.0,0.25869,0.08174025867887184,123.84425117689298,39.13201564455686,yes
PANC1,2min,120.0,2.0,48.0,0.37544,0.1343188594353003,179.73669512487032,64.30329183849052,yes
PANC1,2min,120.0,2.0,72.0,0.6677642857142857,0.19426565319425107,319.6828943019001,93.00198828417031,yes
PANC1,3min,180.0,3.0,0.0,0.20888333333333334,0.08358127867487751,100.00000000000001,40.01337844484681,no
PANC1,3min,180.0,3.0,24.0,0.23061000000000004,0.07280101418707471,110.4013404611825,34.85247627243663,no
PANC1,3min,180.0,3.0,48.0,0.33865,0.12347661272034025,162.12399265937924,59.112716534113254,no
PANC1,3min,180.0,3.0,72.0,0.5151214285714285,0.16201156263850902,246.60724259383792,77.56078958198788,no
PANC1,4min,240.0,4.0,0.0,0.20888333333333334,0.08358127867487751,100.00000000000001,40.01337844484681,yes
PANC1,4min,240.0,4.0,24.0,0.19195999999999996,0.06743296589123822,91.89818878161653,32.28259757020899,yes
PANC1,4min,240.0,4.0,48.0,0.23720000000000002,0.08726858923270525,113.55621160137238,41.77862725574336,yes
PANC1,4min,240.0,4.0,72.0,0.28600714285714285,0.15888486138025915,136.92195461125485,76.06392470131293,yes
PANC1,5min,300.0,5.0,0.0,0.20888333333333334,0.08358127867487751,100.00000000000001,40.01337844484681,yes
PANC1,5min,300.0,5.0,24.0,0.15508000000000002,0.050953154956292865,74.2424000638315,24.393116551325075,yes
PANC1,5min,300.0,5.0,48.0,0.13502999999999998,0.0746091154692985,64.64374052501395,35.718079694868834,yes
PANC1,5min,300.0,5.0,72.0,0.13250714285714285,0.06294157809228534,63.43595764325038,30.13240792736871,yes
