number,state,value,datetime_start,datetime_complete,normoxic_CC/can_grow/probability,normoxic_CC/can_grow/diameter_rate,normoxic_CC/can_divide/probability,normoxic_CC/can_divide/diameter_cutoff,normoxic_CC/diameter/max,normoxic_CC/phase_dwell/G1,normoxic_CC/phase_dwell/Sy,normoxic_CC/phase_dwell/G2,normoxic_CC/can_divide/time_window,normoxic_CC/can_divide/probability_increment_with_age,normoxic_CC/can_divide/influence_ratio,normoxic_CC/can_apoptose/probability,normoxic_CC/can_apoptose/time_window,attr_penalty,attr_score_curve
32,TrialState.COMPLETE,195.37233510039388,2026-06-10 15:13:01.972364,2026-06-10 15:14:08.789212,0.10486475206250656,12.448366353673523,0.7402529282906243,14.524109107387428,22.95119584489778,8.81228339054708,4.989559717811224,1.970706451184724,11.607772855349488,5.5590539187281894e-05,2.0775439570551764,0.008280519090396784,4582.15128469857,168.2304048048132,27.14193029558069
33,TrialState.COMPLETE,260.6275768869543,2026-06-10 15:14:08.797038,2026-06-10 15:14:57.111922,0.9811902534101999,0.2571674271901824,0.1924966422743663,15.32118352288154,26.311288030912102,9.023690423751551,13.369210247539108,1.3940136521172233,23.805125620709244,0.00022451131849107118,0.9936744528346793,3.901173399811577e-05,778.2792277340981,222.1645789518647,38.46299793508957
34,TrialState.PRUNED,58.178436124141854,2026-06-10 15:14:57.119874,2026-06-10 15:15:23.101716,0.7482381034199654,5.4022631992746035,0.4422055970857881,17.9511993389472,22.58494033718441,20.73434511862355,11.5114151132206,7.149202089643015,16.230986564736146,0.0001611967118623835,2.0706427342001357,0.017159813036852264,850.5529374815042,,
35,TrialState.PRUNED,58.57482660487983,2026-06-10 15:15:23.110002,2026-06-10 15:15:50.534177,0.7745328814360011,0.2975729896967578,0.39873239078496686,10.330066198330728,25.973583212679873,18.416757784667926,14.937201668345718,3.495253738650688,18.660907244373792,0.00011398809549643469,2.529757821990654,1.1133583733791062e-05,1691.6373126149326,,
36,TrialState.COMPLETE,143.04644355779834,2026-06-10 15:15:50.542558,2026-06-10 15:16:45.602927,0.8502512666689896,0.12205288197441992,0.8712193753734018,14.047473497232188,25.25015930953118,9.009825169128053,2.9917585873201498,11.035917981313519,16.11144068892422,0.00010657666239628981,2.7422676738723686,0.0011745613859162187,416.46724759245734,122.3614295145799,20.685014043218455
37,TrialState.COMPLETE,198.72974817594715,2026-06-10 15:16:45.610384,2026-06-10 15:17:44.657249,0.9105615677373653,0.3915689042143564,0.5980006671749318,11.301385486592714,27.52701170180147,10.036451806746925,1.7394048102026125,9.88180521140348,17.222618111103028,5.3319830807509536e-05,2.958026794887276,0.0028208409669736247,210.7835715122976,170.62023905529537,28.109509120651772
38,TrialState.COMPLETE,258.0817501143577,2026-06-10 15:17:44.665573,2026-06-10 15:18:25.751476,0.6448483838415795,0.112452357712428,0.948822314373992,16.555705841166088,28.752544313927128,13.305684699523418,6.141180606933025,11.334984049802554,18.981688177839516,0.00019907434683912392,2.049801664273761,0.0010052457724056664,846.1874085952355,215.72652604366314,42.35522407069454
39,TrialState.COMPLETE,196.3004089649172,2026-06-10 15:18:25.759060,2026-06-10 15:19:15.919667,0.8722244878119844,3.5372716366129393,0.4277471766502551,15.544608884913307,20.5224896424698,11.563919133005818,15.441775035914047,2.896122338978568,16.490262107303543,1.5512464414882883e-05,3.8833042800773825,0.015915382408695944,1261.8679948512777,164.22960042148122,32.07080854343597
40,TrialState.COMPLETE,113.01722151276917,2026-06-10 15:19:15.927012,2026-06-10 15:20:10.221892,0.8348960871916384,0.22121731521554527,0.9745479266965031,12.716191236936504,25.075295557176087,5.924315011074402,4.446247136817839,7.574017257862122,23.59403487652831,7.790153138284449e-05,2.4335576381549986,0.002571949912227695,1489.3475026797669,96.45800222732889,16.55921928544027
41,TrialState.PRUNED,50.34829115697905,2026-06-10 15:20:10.229787,2026-06-10 15:20:54.891868,0.6471874483604002,0.18101730413379694,0.8631712744818371,13.132309971918195,24.04900999787834,1.4427869502692907,6.950569265560099,5.090307503884096,27.04961216510229,7.776804679351553e-05,0.70564237644022,0.010530680490702209,3047.144796484161,,
42,TrialState.COMPLETE,302.2894622957672,2026-06-10 15:20:54.900692,2026-06-10 15:21:49.704332,0.23071306653159127,8.000332572238925,0.8167785675289886,11.688724624527078,28.923220399547926,10.386945413961056,1.6101089636476935,6.7311251641592555,18.723209443301315,2.096599175178542e-05,2.730928667450911,0.00536922314270605,3596.559901792272,255.86105428825124,46.42840800751597
43,TrialState.COMPLETE,132.16176730401597,2026-06-10 15:21:49.712258,2026-06-10 15:22:43.797056,0.7402466328925947,0.24214147332171443,0.8653985125245764,11.378188846142008,21.958132792938684,14.663380472498748,3.8591893248109046,11.053681075434037,14.289268544973723,0.00012220423841176816,3.2752569645815734,4.033905292101767e-05,790.3052025561236,108.21228449859274,23.949482805423237
44,TrialState.COMPLETE,144.8914971915591,2026-06-10 15:22:43.807101,2026-06-10 15:23:42.298952,0.7136864907426248,0.26783427097967805,0.8934607382366715,13.541376885506288,19.341550210965977,11.763264982042807,4.567966796912298,9.584966960689686,9.790238560807772,7.193461563728725e-05,2.625657155816154,1.4028379465363523e-05,562.8918242574397,119.25175045994229,25.639746731616803
45,TrialState.COMPLETE,241.68667710536366,2026-06-10 15:23:42.306974,2026-06-10 15:24:30.699989,0.9772125245350736,0.14147719926697316,0.9337930928048395,15.810936665216879,24.03005767102422,11.945014565069425,4.073526999001005,10.538716982506685,9.891217292711495,1.4363421997865374e-05,2.3027753334826775,0.0033090561426785572,360.51669052492355,201.96342169460223,39.723255410761425
46,TrialState.PRUNED,49.729587301955604,2026-06-10 15:24:30.707555,2026-06-10 15:25:04.740104,0.8756986705555725,2.0777986703548854,0.959533821069752,14.961220364230126,25.22163516840012,8.899363565064188,8.239644627140347,4.62554846362973,24.212643250068492,0.00011142393875487662,2.6777050763134995,0.00043540233276214693,1599.9235870474522,,
47,TrialState.COMPLETE,224.58462314854134,2026-06-10 15:25:04.748855,2026-06-10 15:25:50.967010,0.7444814872664687,0.2740262728898825,0.7078370051869199,10.096191425423818,22.238389652681967,13.256967859507728,8.566655067345833,9.530044785107773,21.529085723275557,0.00012316142359181684,3.158700854037828,0.00012911127465045234,1218.7732843002664,188.4436938925644,36.14092925597694
48,TrialState.COMPLETE,168.97633002105647,2026-06-10 15:25:50.977996,2026-06-10 15:26:44.649057,0.9883082209653067,0.10440310267340955,0.8851363733272803,14.08906939964397,22.906008607805255,9.92841418678213,1.0878003593033592,7.69549397869631,20.893234424518013,0.0002921057878116049,2.5950348359154267,0.000747026884915575,2606.1852425699212,144.63955313441872,24.336776886637765
49,TrialState.COMPLETE,227.87966835229486,2026-06-10 15:26:44.656994,2026-06-10 15:27:39.305219,0.9554506664648426,0.8510076716141793,0.9013991266266785,13.27176738352725,23.782140764695185,1.2059714757325457,3.1531945214289028,10.755477346896143,24.346900964374782,0.00012924378438244202,2.7876925551618124,0.0017017362546417154,2604.173791371854,191.24214872268473,36.63751962961014
50,TrialState.COMPLETE,244.14360648036603,2026-06-10 15:27:39.313540,2026-06-10 15:28:29.784854,0.06316183903452086,8.250200885437742,0.8916689188445399,18.43878802605282,23.67363526430429,10.71363432743259,8.371473785233373,8.12828064467946,15.26840151165847,7.448009092707192e-05,2.484600413100779,0.007437050545433979,1479.17217628223,204.9720712916485,39.17153518871755
51,TrialState.COMPLETE,131.90101487303252,2026-06-10 15:28:29.792601,2026-06-10 15:29:10.991000,0.8407035733561975,0.1650573819268067,0.966884315156666,12.467992356365048,16.495101145766817,19.746142254494192,6.92600361384109,8.879123018310128,11.246811496902398,7.491352324611436e-05,2.8586155093856656,2.5374811523355515e-05,340.1914789517792,107.98187840635714,23.91913646667537
52,TrialState.PRUNED,57.981116690241656,2026-06-10 15:29:10.998337,2026-06-10 15:29:36.627068,0.7514959330577586,0.21048137077451398,0.8926542407691636,12.865657997678145,15.126375841756044,20.676967423037915,10.96944146885593,8.471942862939908,17.357966096509944,0.00018493009833821193,1.809884251228034,2.1373942926250894e-05,195.96829420229233,,
53,TrialState.COMPLETE,127.00795747298356,2026-06-10 15:29:36.635003,2026-06-10 15:30:21.780226,0.7640654302197524,0.11918354209326722,0.8957199302807806,10.69359397256252,16.5397459216852,19.052648103759022,5.343038247669687,9.295182190444205,14.767758088982855,8.910843527410032e-05,3.409133871818025,0.0011732089857310801,251.6928453047323,103.65482932054752,23.353128152436046
54,TrialState.COMPLETE,128.7971474634555,2026-06-10 15:30:21.787801,2026-06-10 15:31:06.994007,0.5223209576825995,0.24776651583263695,0.9104478488201351,11.308600391647126,18.910838607329083,18.47663919876486,7.182521779668607,7.7451204177102975,11.655741545152331,0.00010179705979436552,2.6293871389932324,0.007641601508366645,196.84376930903392,105.23780529953004,23.559342163925464
55,TrialState.COMPLETE,127.00795747298356,2026-06-10 15:31:07.001786,2026-06-10 15:31:54.048858,0.9288352078186551,0.10128580831486383,0.8727803301497705,10.503295855667872,15.01498557905244,19.86510663705927,2.895615586656248,9.661276069279111,16.02823289280931,0.00019877096380931466,2.152091509111396,0.004440735716208039,296.3878094397048,103.65482932054752,23.353128152436046
56,TrialState.COMPLETE,127.77282617278289,2026-06-10 15:31:54.056120,2026-06-10 15:32:43.415984,0.7557110613722731,0.4327469411371242,0.6873966138369011,12.135887936304664,17.480466766295535,18.497480973648948,5.242367642240866,7.9272895431009776,15.710012369662437,0.00020812751811167017,3.6401182243006245,0.029300339369934994,255.03004772423026,104.33164759725429,23.441178575528596
57,TrialState.COMPLETE,218.4452046717563,2026-06-10 15:32:43.423484,2026-06-10 15:33:28.710988,0.9684064424483235,0.12837209232222746,0.8861127400776007,10.513187272164151,18.891151132470664,23.479190118272122,1.043744676849201,7.639315343375738,20.136009773644695,0.00024215242066679123,3.0519123777412958,0.0057413311290703,160.20245910735903,183.21665699122593,35.228547680530355
