number,state,value,params,error
99,TrialState.PRUNED,60.9941924838443,"{'normoxic_CC/can_grow/probability': 0.2565572579990115, 'normoxic_CC/can_grow/diameter_rate': 0.936713904100235, 'normoxic_CC/can_divide/probability': 0.6986354263435304, 'normoxic_CC/can_divide/diameter_cutoff': 20.728588610272404, 'normoxic_CC/can_divide/O2/threshold': 0.7350098941384554, 'normoxic_CC/diameter/max': 29.6015443048573}",
102,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.01996543246968946, 'normoxic_CC/can_grow/diameter_rate': 0.6318259453080587, 'normoxic_CC/can_divide/probability': 0.45413232507177326, 'normoxic_CC/can_divide/diameter_cutoff': 10.464991002180351, 'normoxic_CC/can_divide/O2/threshold': 0.8931564357032498, 'normoxic_CC/diameter/max': 15.153608216526095}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00251/run.log
103,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.09843894375165463, 'normoxic_CC/can_grow/diameter_rate': 15.022611340685897, 'normoxic_CC/can_divide/probability': 0.28019836981503066, 'normoxic_CC/can_divide/diameter_cutoff': 16.888350584336834, 'normoxic_CC/can_divide/O2/threshold': 0.31791536787517516, 'normoxic_CC/diameter/max': 19.05790187333229}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00252/run.log
105,TrialState.PRUNED,35.1482004532146,"{'normoxic_CC/can_grow/probability': 0.7130902102212437, 'normoxic_CC/can_grow/diameter_rate': 0.12447000176497983, 'normoxic_CC/can_divide/probability': 0.839480868891952, 'normoxic_CC/can_divide/diameter_cutoff': 15.234930940534197, 'normoxic_CC/can_divide/O2/threshold': 0.1298006963518743, 'normoxic_CC/diameter/max': 21.558576066199578}",
106,TrialState.PRUNED,0.4638667604032868,"{'normoxic_CC/can_grow/probability': 0.9593539963764407, 'normoxic_CC/can_grow/diameter_rate': 1.129530863315844, 'normoxic_CC/can_divide/probability': 0.6297130335463881, 'normoxic_CC/can_divide/diameter_cutoff': 10.815303600682302, 'normoxic_CC/can_divide/O2/threshold': 0.7467267421478463, 'normoxic_CC/diameter/max': 25.553686439341263}",
107,TrialState.PRUNED,75.99558454653156,"{'normoxic_CC/can_grow/probability': 0.04366446452806094, 'normoxic_CC/can_grow/diameter_rate': 1.378877185003797, 'normoxic_CC/can_divide/probability': 0.1767891003467309, 'normoxic_CC/can_divide/diameter_cutoff': 16.764967268958998, 'normoxic_CC/can_divide/O2/threshold': 0.1625303177808632, 'normoxic_CC/diameter/max': 25.470485685876902}",
108,TrialState.PRUNED,0.4636450292032579,"{'normoxic_CC/can_grow/probability': 0.5668776606968878, 'normoxic_CC/can_grow/diameter_rate': 3.5176808110771263, 'normoxic_CC/can_divide/probability': 0.9049094381522591, 'normoxic_CC/can_divide/diameter_cutoff': 14.098774590191756, 'normoxic_CC/can_divide/O2/threshold': 0.32541145154178336, 'normoxic_CC/diameter/max': 24.90664699908673}",
110,TrialState.PRUNED,13.925038917170806,"{'normoxic_CC/can_grow/probability': 0.48187874207912784, 'normoxic_CC/can_grow/diameter_rate': 0.167858402676142, 'normoxic_CC/can_divide/probability': 0.3861813306912099, 'normoxic_CC/can_divide/diameter_cutoff': 13.29402360057308, 'normoxic_CC/can_divide/O2/threshold': 0.39654136772787957, 'normoxic_CC/diameter/max': 26.623582072191105}",
112,TrialState.PRUNED,0.4661792420917221,"{'normoxic_CC/can_grow/probability': 0.6545383773628781, 'normoxic_CC/can_grow/diameter_rate': 24.66037779341422, 'normoxic_CC/can_divide/probability': 0.6108093813797332, 'normoxic_CC/can_divide/diameter_cutoff': 13.269386408933912, 'normoxic_CC/can_divide/O2/threshold': 0.7540624593163274, 'normoxic_CC/diameter/max': 26.800100921385617}",
113,TrialState.PRUNED,95.2072274063417,"{'normoxic_CC/can_grow/probability': 0.059703636698924756, 'normoxic_CC/can_grow/diameter_rate': 0.11832679230020779, 'normoxic_CC/can_divide/probability': 0.5447437980434219, 'normoxic_CC/can_divide/diameter_cutoff': 16.948242253035982, 'normoxic_CC/can_divide/O2/threshold': 0.4457077298061647, 'normoxic_CC/diameter/max': 29.832552717352918}",
116,TrialState.PRUNED,0.4631636032255971,"{'normoxic_CC/can_grow/probability': 0.4553468000804005, 'normoxic_CC/can_grow/diameter_rate': 3.408924892512954, 'normoxic_CC/can_divide/probability': 0.6754473794681448, 'normoxic_CC/can_divide/diameter_cutoff': 12.878958789942233, 'normoxic_CC/can_divide/O2/threshold': 0.3897131753753388, 'normoxic_CC/diameter/max': 25.520633863727014}",
117,TrialState.PRUNED,71.53938653964555,"{'normoxic_CC/can_grow/probability': 0.2426696202126341, 'normoxic_CC/can_grow/diameter_rate': 0.18068906612265856, 'normoxic_CC/can_divide/probability': 0.09242563415082489, 'normoxic_CC/can_divide/diameter_cutoff': 15.709174361889636, 'normoxic_CC/can_divide/O2/threshold': 0.5519417060728922, 'normoxic_CC/diameter/max': 21.62915795882739}",
118,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.4854005201287209, 'normoxic_CC/can_grow/diameter_rate': 0.24866584493377392, 'normoxic_CC/can_divide/probability': 0.1829476552965011, 'normoxic_CC/can_divide/diameter_cutoff': 11.170290007507267, 'normoxic_CC/can_divide/O2/threshold': 0.26691659414319313, 'normoxic_CC/diameter/max': 18.450393650615215}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00286/run.log
119,TrialState.PRUNED,0.5474784810968198,"{'normoxic_CC/can_grow/probability': 0.9884505487459994, 'normoxic_CC/can_grow/diameter_rate': 1.9411261081161366, 'normoxic_CC/can_divide/probability': 0.9228025597958154, 'normoxic_CC/can_divide/diameter_cutoff': 14.666678726785754, 'normoxic_CC/can_divide/O2/threshold': 0.9119398548893773, 'normoxic_CC/diameter/max': 29.736733323680173}",
120,TrialState.PRUNED,40.20977734581983,"{'normoxic_CC/can_grow/probability': 0.9636231319526032, 'normoxic_CC/can_grow/diameter_rate': 14.03025625510628, 'normoxic_CC/can_divide/probability': 0.03982402867803575, 'normoxic_CC/can_divide/diameter_cutoff': 12.320902911206701, 'normoxic_CC/can_divide/O2/threshold': 0.6539267046804674, 'normoxic_CC/diameter/max': 27.980543205381444}",
121,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.20487093162133602, 'normoxic_CC/can_grow/diameter_rate': 19.96375827458805, 'normoxic_CC/can_divide/probability': 0.7658010701600608, 'normoxic_CC/can_divide/diameter_cutoff': 10.689567088144887, 'normoxic_CC/can_divide/O2/threshold': 0.5089443424643384, 'normoxic_CC/diameter/max': 17.505949819048908}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00291/run.log
123,TrialState.PRUNED,0.8839551429813606,"{'normoxic_CC/can_grow/probability': 0.289107578132001, 'normoxic_CC/can_grow/diameter_rate': 3.647056674630927, 'normoxic_CC/can_divide/probability': 0.8963376822324376, 'normoxic_CC/can_divide/diameter_cutoff': 18.84026294136808, 'normoxic_CC/can_divide/O2/threshold': 0.2320690528658086, 'normoxic_CC/diameter/max': 29.9416120072185}",
125,TrialState.PRUNED,0.46532537674103835,"{'normoxic_CC/can_grow/probability': 0.3732585544629496, 'normoxic_CC/can_grow/diameter_rate': 18.053208790909242, 'normoxic_CC/can_divide/probability': 0.6035431877892676, 'normoxic_CC/can_divide/diameter_cutoff': 17.335294073522117, 'normoxic_CC/can_divide/O2/threshold': 0.4708173617790597, 'normoxic_CC/diameter/max': 25.582480443633163}",
